srcIp,dstIp,dstPort,proto,duration,fwdPackets,bwdPackets,fwdBytes,bwdBytes,iatStd,fwdHeaderBytes,bwdHeaderBytes,label,count
192.168.10.3,192.168.10.1,53,17,0,0,0,0,0,0,7,3,1,257013
192.168.10.19,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,53357
192.168.10.16,OTHER,443,6,18,0,0,3,0,4,7,3,1,104
192.168.10.50,172.16.0.1,OTHER,6,16,0,0,4,0,12,7,3,1,1716
192.168.10.16,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,51698
192.168.10.8,192.168.10.5,OTHER,6,0,0,0,0,0,0,7,3,1,12028
192.168.10.5,OTHER,443,6,0,0,0,0,0,0,7,3,1,21185
192.168.10.17,OTHER,123,17,0,0,0,0,0,0,7,3,1,5995
OTHER,192.168.10.25,OTHER,6,0,0,0,0,0,0,7,3,1,69578
192.168.10.17,OTHER,80,6,0,0,0,0,0,0,7,3,1,5972
192.168.10.8,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,76450
OTHER,192.168.10.19,OTHER,6,0,0,0,0,0,0,7,3,1,23412
OTHER,192.168.10.12,OTHER,6,0,0,0,0,0,0,7,3,1,31692
192.168.10.50,172.16.0.1,OTHER,6,3,0,0,0,0,3,7,3,1,1646
192.168.10.16,OTHER,443,6,2,0,0,0,0,1,7,3,1,3881
192.168.10.16,OTHER,443,6,0,0,0,0,0,0,7,3,1,13732
192.168.10.25,OTHER,443,6,0,0,0,0,0,0,7,3,1,26830
192.168.10.17,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,55002
192.168.10.19,192.168.10.25,OTHER,6,0,0,0,0,0,0,7,3,1,127
192.168.10.51,OTHER,443,6,0,0,0,0,0,0,7,3,1,10888
192.168.10.19,OTHER,80,6,4,0,0,0,0,1,7,3,1,3
192.168.10.9,OTHER,80,6,0,0,0,0,0,0,7,3,1,10060
192.168.10.14,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,68264
192.168.10.9,OTHER,443,6,1,0,0,0,0,1,7,3,1,717
192.168.10.15,OTHER,80,6,0,0,0,0,0,0,7,3,1,10902
192.168.10.51,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,23103
192.168.10.5,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,74965
192.168.10.9,OTHER,443,6,3,0,0,0,0,4,7,3,1,17
192.168.10.17,OTHER,80,6,18,0,0,1,0,4,7,3,1,656
192.168.10.51,OTHER,80,6,2,0,0,1,0,1,7,3,1,59
OTHER,192.168.10.16,OTHER,6,0,0,0,0,0,0,7,3,1,29326
192.168.10.5,OTHER,80,6,10,0,0,0,0,4,7,3,1,199
OTHER,192.168.10.51,OTHER,6,0,0,0,0,0,0,7,3,1,17214
192.168.10.19,OTHER,80,6,0,0,0,0,0,0,7,3,1,6695
192.168.10.15,OTHER,443,6,1,0,0,1,0,0,7,3,1,654
192.168.10.51,OTHER,80,6,4,0,0,2,0,3,7,3,1,15
192.168.10.51,OTHER,80,6,0,0,0,0,0,0,7,3,1,5131
192.168.10.8,OTHER,80,6,2,0,0,0,0,3,7,3,1,4872
192.168.10.12,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,66994
192.168.10.15,OTHER,80,6,18,0,0,1,0,4,7,3,1,1310
